
1012.24	3.023	3.5058
1033.33	3.0049	3.6289
1055.32	3.0009	3.7434
1078.26	3.011	3.8447
1102.22	3.03	3.94
1127.27	3.0571	4.0333
1153.49	3.0862	4.1198
1180.95	3.1126	4.1978
1209.76	3.1321	4.2651
1240	3.14	4.32
1271.79	3.1516	4.3701
1305.26	3.1531	4.4159
1340.54	3.1456	4.4419
1377.78	3.11	4.44
1417.14	3.0228	4.3809
1458.82	2.7842	4.4052
1503.03	2.4236	4.5668
1550	2.2738	4.8156
1600	2.1675	5.1049
1653.33	1.9263	5.3937
1710.34	1.7268	5.7365
1771.43	1.59	6.13
1837.04	1.4865	6.5316
1907.69	1.3964	6.9595
1984	1.2993	7.4203
2066.67	1.21	7.96
2156.52	1.1819	8.5635
2254.55	1.2119	9.1931
2361.9	1.2793	9.8473
2480	1.4	10.5
